likes,54992199,222103174,174501086,10330740,483787858,374628474,268536810,519585366,476714097,14110780,8047632,522653994
2023122511,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023122523,59141974,172573565,55779718,430644935,158070860,22268938,13449274,29986486,10634887,143554896,53678417,40516012
2023122611,59142105,148472720,25032332,415928226,137979759,22269068,13454810,39421488,1150459,143555824,45675651,45675592
2023122623,45844328,148525129,25059597,416067052,138100816,35507751,23164271,39440630,1150801,143559212,53680980,40548605
2023122711,59143794,172644351,55833952,430746241,158235009,22393690,13476179,39453843,10635539,136287411,53682442,40561123
2023122723,45846536,148668712,25108130,430817440,158361107,35513120,23173942,39484920,10635898,143585769,45683981,40627513
2023122811,45847141,148690589,55875191,416328106,138355408,35514309,13493484,39502807,1151401,143617002,53688368,45798066
2023122823,59147636,148745137,25156964,416438765,158493955,35516764,23184269,30138252,1151641,143646409,45688371,45849398
2023122911,45849879,172742371,25169964,416489029,158533727,22413309,13519967,30158800,10636319,136382118,45689087,40746298
2023122923,45855502,148904726,55951137,430990794,138682969,22419907,23191733,39591497,1152257,143681134,53694896,45912653
2023123011,59156314,148989984,25229569,416723756,158695597,35529050,23194198,30212493,10637103,143694094,53697143,45933330
2023123023,45861193,172852334,25290122,416855463,138919669,22457757,23198381,30237836,1153191,136430057,53698357,45962713
2023123111,45864101,172868717,56054718,431118482,158833691,35538501,23200115,39637075,10638047,143712472,45695598,40876084
2023123123,45865604,172913734,25351264,431187564,158958654,22496089,13567508,30269396,1154331,143723900,53701041,45995259
2024010111,59164911,172944119,25377207,417253306,139313351,35549570,13571879,39666314,10640614,143728476,45703013,40983301
2024010123,45867750,173030601,56166523,417373483,159181679,35554774,23209720,39688316,1167761,136464658,53710051,41034233
2024010211,45868303,173041372,56182785,417424554,139597002,35556391,23211976,39705497,10652506,136468196,53710762,46072177
2024010223,59171176,149539450,25483131,417515701,139754769,22542298,23217506,39733961,10652912,136474270,53713132,46139114
