likes,54992199,222103174,174501086,10330740,483787858,374628474,268536810,519585366,476714097,14110780,8047632,522653994,542824499,2654670,300021061,432315004
2023120511,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023120523,45757059,171492612,54649316,410235271,132408458,35462472,12956497,28833247,10619992,135576185,45530942,44282031,-1,1791009,197674,-1
2023120611,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023120623,59062790,171530433,23787905,428618585,132630252,35463188,12982747,38741671,1135823,142854709,45531458,44311375,-1,1808354,197714,-1
2023120711,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023120723,59076166,171564051,54741305,428757727,132906325,35468196,22999942,28946428,10621116,142946387,53536570,38676364,-1,1808828,197780,-1
2023120811,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023120823,45786903,171610045,23894686,428868234,133135761,22075540,13042087,38798712,10621698,135735429,45536285,44430453,-1,1808942,197822,-1
2023120911,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023120923,59088000,145543835,54841422,411358471,133453019,22096961,13070496,29039590,10622427,143137935,53540627,38869413,-1,1809090,197844,-1
2023121011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023121023,59090378,171744804,54887150,411690604,155841767,35480443,13093475,38835186,10623184,143184543,53541581,39014321,-1,1809234,197922,-1
2023121111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023121123,45795658,145902468,24047470,429254456,156009651,22138076,23030555,38855423,10623539,143213504,53542240,39054311,-1,1794641,197969,-1
2023121211,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023121223,59095242,146021862,54977408,412264469,156151648,22140888,23039444,29163927,1139302,135952670,53542836,44585393,-1,1812427,197992,-1
2023121311,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023121323,45799501,171900072,24145918,429430127,134458937,35488632,23050702,29202342,1139618,135960233,53543288,44603786,-1,1812652,198064,-1
2023121411,45802556,171912708,24160425,412770599,156400234,22161437,13167551,29226509,1139765,143238123,45540165,39140270,-1,1812715,198068,-1
2023121423,59107397,146418988,24190163,429508607,156526885,22165691,23060690,38969053,1139967,136027381,53543833,44635641,-1,1795596,198106,-1
2023121511,45812139,171976866,55080209,413092913,134865119,35491252,13196127,29285766,10624606,136044822,53544053,39191850,-1,1795647,198107,-1
2023121523,45816510,172009187,55109212,429588839,134989254,35492549,23069583,39018936,10624860,136062505,45597117,39274000,-1,1812954,198144,-1
